t_fs,rho10_abs,rho20_abs,rho12_abs,rho22_pop
1.580000000000000000e+02,8.902160132906744572e-01,5.999313958550449577e-01,6.369701927601607583e-01,4.541636541437431007e-01
1.600000000000000000e+02,8.889065440336459956e-01,5.960638033124783242e-01,6.333439187816726212e-01,4.496486477284933891e-01
1.620000000000000000e+02,8.875990009492649158e-01,5.922211440742506383e-01,6.297382891961507134e-01,4.451785266376057648e-01
1.640000000000000000e+02,8.862933812042146364e-01,5.884032574022131090e-01,6.261531864749791954e-01,4.407528446497114838e-01
1.660000000000000000e+02,8.849896819693461314e-01,5.846099835944515988e-01,6.225884937586332324e-01,4.363711599794908857e-01
1.680000000000000000e+02,8.836879004196719345e-01,5.808411639786063008e-01,6.190440948528697085e-01,4.320330352335732260e-01
1.700000000000000000e+02,8.823880337343601443e-01,5.770966409052344925e-01,6.155198742249401445e-01,4.277380373668746572e-01
1.720000000000000000e+02,8.810900790967280960e-01,5.733762577412158112e-01,6.120157169998239333e-01,4.234857376393704187e-01
1.740000000000000000e+02,8.797940336942362549e-01,5.696798588632006055e-01,6.085315089564848900e-01,4.192757115732965167e-01
1.760000000000000000e+02,8.784998947184824436e-01,5.660072896511000318e-01,6.050671365241473421e-01,4.151075389107772295e-01
1.780000000000000000e+02,8.772076593651951804e-01,5.623583964816186720e-01,6.016224867785948671e-01,4.109808035718733321e-01
1.800000000000000000e+02,8.759173248342282392e-01,5.587330267218276747e-01,5.981974474384886831e-01,4.068950936130482088e-01
1.820000000000000000e+02,8.746288883295542105e-01,5.551310287227811946e-01,5.947919068617085747e-01,4.028500011860459140e-01
1.840000000000000000e+02,8.733423470592585058e-01,5.515522518131721341e-01,5.914057540417130276e-01,3.988451224971786835e-01
1.860000000000000000e+02,8.720576982355333628e-01,5.479965462930298514e-01,5.880388786039214555e-01,3.948800577670188994e-01
1.880000000000000000e+02,8.707749390746715168e-01,5.444637634274581695e-01,5.846911708021158560e-01,3.909544111904921238e-01
1.900000000000000000e+02,8.694940667970608716e-01,5.409537554404139081e-01,5.813625215148645609e-01,3.870677908973662595e-01
1.920000000000000000e+02,8.682150786271776166e-01,5.374663755085253847e-01,5.780528222419640816e-01,3.832198089131341190e-01
1.940000000000000000e+02,8.669379717935806751e-01,5.340014777549506597e-01,5.747619651009033825e-01,3.794100811202845147e-01
1.960000000000000000e+02,8.656627435289059314e-01,5.305589172432757517e-01,5.714898428233466943e-01,3.756382272199582095e-01
1.980000000000000000e+02,8.643893910698596805e-01,5.271385499714517087e-01,5.682363487516376432e-01,3.719038706939858385e-01
2.000000000000000000e+02,8.631179116572129661e-01,5.237402328657712047e-01,5.650013768353221444e-01,3.682066387673021968e-01
2.020000000000000000e+02,8.618483025357954741e-01,5.203638237748836604e-01,5.617848216276920548e-01,3.645461623707349497e-01
2.040000000000000000e+02,8.605805609544896484e-01,5.170091814638494432e-01,5.585865782823473680e-01,3.609220761041628256e-01
2.060000000000000000e+02,8.593146841662249180e-01,5.136761656082311500e-01,5.554065425497793917e-01,3.573340182000404597e-01
2.080000000000000000e+02,8.580506694279712576e-01,5.103646367882247459e-01,5.522446107739723553e-01,3.537816304872854478e-01
2.100000000000000000e+02,8.567885140007336364e-01,5.070744564828273404e-01,5.491006798890243346e-01,3.502645583555246689e-01
2.120000000000000000e+02,8.555282151495460230e-01,5.038054870640424898e-01,5.459746474157883833e-01,3.467824507196959338e-01
2.140000000000000000e+02,8.542697701434652791e-01,5.005575917911239126e-01,5.428664114585313172e-01,3.433349599850016864e-01
2.160000000000000000e+02,8.530131762555653863e-01,4.973306348048550651e-01,5.397758707016131474e-01,3.399217420122108146e-01
2.180000000000000000e+02,8.517584307629315621e-01,4.941244811218664101e-01,5.367029244061841675e-01,3.365424560833059076e-01
2.200000000000000000e+02,8.505055309466543756e-01,4.909389966289890439e-01,5.336474724069013575e-01,3.331967648674713511e-01
2.220000000000000000e+02,8.492544740918237522e-01,4.877740480776446841e-01,5.306094151086633293e-01,3.298843343874203193e-01
2.240000000000000000e+02,8.480052574875229787e-01,4.846295030782720170e-01,5.275886534833641450e-01,3.266048339860557759e-01
2.260000000000000000e+02,8.467578784268231518e-01,4.815052300947887942e-01,5.245850890666651223e-01,3.233579362934634327e-01
2.280000000000000000e+02,8.455123342067770720e-01,4.784010984390895671e-01,5.215986239547857339e-01,3.201433171942327238e-01
2.300000000000000000e+02,8.442686221284136927e-01,4.753169782655792819e-01,5.186291608013118282e-01,3.169606557951022974e-01
2.320000000000000000e+02,8.430267394967315697e-01,4.722527405657416244e-01,5.156766028140230551e-01,3.138096343929280274e-01
2.340000000000000000e+02,8.417866836206938652e-01,4.692082571627426146e-01,5.127408537517372800e-01,3.106899384429680500e-01
2.360000000000000000e+02,8.405484518132220195e-01,4.661834007060690621e-01,5.098218179211739809e-01,3.076012565274848232e-01
2.380000000000000000e+02,8.393120413911900890e-01,4.631780446662014938e-01,5.069194001738349664e-01,3.045432803246579390e-01
2.400000000000000000e+02,8.380774496754188618e-01,4.601920633293213880e-01,5.040335059029026343e-01,3.015157045778064648e-01
2.420000000000000000e+02,8.368446739906699738e-01,4.572253317920526028e-01,5.011640410401567713e-01,2.985182270649175407e-01
2.440000000000000000e+02,8.356137116656404684e-01,4.542777259562367220e-01,4.983109120529072844e-01,2.955505485684773448e-01
2.460000000000000000e+02,8.343845600329564682e-01,4.513491225237419302e-01,4.954740259409467495e-01,2.926123728456025419e-01
2.480000000000000000e+02,8.331572164291679572e-01,4.484393989913055267e-01,4.926532902335179487e-01,2.897034065984682716e-01
2.500000000000000000e+02,8.319316781947426742e-01,4.455484336454097472e-01,4.898486129863001692e-01,2.868233594450300128e-01
2.520000000000000000e+02,8.307079426740602290e-01,4.426761055571901138e-01,4.870599027784120461e-01,2.839719438900373261e-01
2.540000000000000000e+02,8.294860072154066621e-01,4.398222945773775372e-01,4.842870687094318338e-01,2.811488752963345883e-01
2.560000000000000000e+02,8.282658691709685606e-01,4.369868813312719480e-01,4.815300203964339998e-01,2.783538718564480541e-01
2.580000000000000000e+02,8.270475258968275067e-01,4.341697472137492353e-01,4.787886679710436355e-01,2.755866545644546917e-01
2.600000000000000000e+02,8.258309747529539724e-01,4.313707743842998266e-01,4.760629220765067449e-01,2.728469471881310171e-01
2.620000000000000000e+02,8.246162131032016562e-01,4.285898457620994084e-01,4.733526938647777405e-01,2.701344762413788181e-01
2.640000000000000000e+02,8.234032383153022661e-01,4.258268450211117329e-01,4.706578949936233713e-01,2.674489709569248252e-01
2.660000000000000000e+02,8.221920477608591904e-01,4.230816565852221767e-01,4.679784376237429155e-01,2.647901632592919996e-01
2.680000000000000000e+02,8.209826388153422805e-01,4.203541656234037194e-01,4.653142344159054145e-01,2.621577877380391608e-01
2.700000000000000000e+02,8.197750088580818550e-01,4.176442580449133413e-01,4.626651985281023394e-01,2.595515816212671800e-01
2.720000000000000000e+02,8.185691552722629272e-01,4.149518204945195632e-01,4.600312436127171889e-01,2.569712847493881847e-01
2.740000000000000000e+02,8.173650754449202083e-01,4.122767403477609061e-01,4.574122838137105740e-01,2.544166395491554988e-01
2.760000000000000000e+02,8.161627667669314468e-01,4.096189057062347150e-01,4.548082337638222894e-01,2.518873910079519884e-01
2.780000000000000000e+02,8.149622266330126541e-01,4.069782053929167365e-01,4.522190085817879290e-01,2.493832866483338961e-01
2.800000000000000000e+02,8.137634524417119986e-01,4.043545289475101168e-01,4.496445238695727098e-01,2.469040765028277795e-01
2.820000000000000000e+02,8.125664415954042541e-01,4.017477666218252641e-01,4.470846957096200613e-01,2.444495130889779988e-01
2.840000000000000000e+02,8.113711915002851383e-01,3.991578093751890211e-01,4.445394406621165917e-01,2.420193513846420341e-01
2.860000000000000000e+02,8.101776995663658720e-01,3.965845488698832577e-01,4.420086757622719853e-01,2.396133488035319392e-01
